comp,matches,pnl_sum,pnl_avg,win_rate,max_drawdown,max_win_streak,max_loss_streak
English Sky Bet League 2,26,740.0,28.46,80.77,-340.0,9.0,1.0
Saudi Professional League,23,725.0,31.52,82.61,-600.0,9.0,1.0
Indonesian Super League,19,440.0,23.16,84.21,-620.0,9.0,2.0
Cypriot 1st Division,10,400.0,40.0,90.0,-600.0,5.0,1.0
Mexican Liga MX,7,335.0,47.86,85.71,-265.0,4.0,1.0
Northern Irish Premiership,10,250.0,25.0,80.0,-550.0,4.0,2.0
Malaysian Super League,6,200.0,33.33,33.33,0.0,2.0,0.0
English U21 Pro Development League,1,100.0,100.0,100.0,0.0,1.0,0.0
Portuguese Primeira Liga,1,100.0,100.0,100.0,0.0,1.0,0.0
French Ligue 1,9,75.0,8.33,66.67,-280.0,3.0,1.0
English National League North,22,-130.0,-5.91,72.73,-1130.0,7.0,2.0
Greek Super League,3,-180.0,-60.0,33.33,0.0,1.0,1.0
Scottish League One,5,-290.0,-58.0,60.0,-490.0,1.0,1.0
UAE Arabian Gulf League,1,-290.0,-290.0,0.0,0.0,0.0,1.0
English WSL,1,-350.0,-350.0,0.0,0.0,0.0,1.0
English Sky Bet League 1,36,-550.0,-15.28,69.44,-1395.0,6.0,2.0
