kickoff,comp,event_name,ft_score,ht_score,goals_60,d_SP,result,is_00_at60,decisive_from_00at60
2025-02-19 10:00:00+00:00,Vietnamese V-League,Quang Nam v Thanh Hoa,1 - 0,0 - 0,0,4.0,1,True,1
2025-02-19 12:15:00+00:00,Vietnamese V-League,Viettel FC v Cong An Nhan Dan,2 - 1,1 - 0,0,3.2,1,False,
2025-02-19 14:00:00+00:00,,Hyderabad FC v Mumbai City FC,0 - 0,0 - 0,0,4.5,0,True,0
2025-02-19 15:00:00+00:00,Mexican Liga MX,Santos Laguna U19 v Cruz Azul U19,1 - 0,0 - 0,1,,1,False,
2025-02-19 16:00:00+00:00,Algerian Ligue 1,MC Oran v ES Mostaganem,1 - 0,1 - 0,0,3.1,1,False,
2025-02-19 19:30:00+00:00,English Premier League,Aston Villa v Liverpool,2 - 2,2 - 1,1,4.1,0,False,
2025-02-19 19:45:00+00:00,English National League,FC Halifax Town v Rochdale,0 - 0,0 - 0,0,3.4,0,True,0
2025-02-19 19:45:00+00:00,English National League,Braintree v Wealdstone,1 - 2,1 - 0,0,3.5,1,False,
2025-02-19 19:45:00+00:00,English Sky Bet Championship,Luton v Plymouth,1 - 1,0 - 0,1,3.85,0,False,
2025-02-19 19:45:00+00:00,English National League,Woking v Solihull Moors,1 - 0,1 - 0,0,3.55,1,False,
2025-02-19 20:00:00+00:00,Argentinian Primera B Metropolitana,CA Fenix v Villa San Carlos,0 - 1,0 - 0,0,2.78,1,True,1
2025-02-19 20:00:00+00:00,Argentinian Primera B Metropolitana,Deportivo Laferrere v CS Dock Sud,2 - 3,0 - 1,1,3.1,1,False,
2025-02-19 23:00:00+00:00,Argentinian Primera B Metropolitana,Comunicaciones B Aires v Sacachispas,3 - 0,1 - 0,1,3.55,1,False,
2025-02-20 01:00:00+00:00,Mexican Liga MX,CF America v Leon,1 - 1,1 - 1,0,4.8,0,False,
2025-02-20 01:10:00+00:00,Colombian Primera A,Once Caldas v Deportivo Pereira,3 - 1,1 - 1,0,3.1,1,False,
2025-02-20 03:05:00+00:00,Mexican Liga MX,Santos Laguna v Cruz Azul,0 - 1,0 - 1,0,5.4,1,False,
2025-02-20 13:00:00+00:00,Tunisian Ligue Professionelle 1,Club Sportif Sfaxien v Club Africain,0 - 1,0 - 1,0,3.2,1,False,
2025-02-20 14:00:00+00:00,English U21 Pro Development League,Sheff Utd U21 v Fleetwood Town U21,5 - 1,2 - 0,1,8.8,1,False,
2025-02-20 14:00:00+00:00,,Mohammedan SC v Jamshedpur FC,0 - 2,0 - 1,0,3.75,1,False,
