kickoff,comp,event_name,ft_score,h_goals60,a_goals60,d_SP,result,is_00_at60,decisive_from_00at60
2025-12-27T05:50:00+00:00,Australian A-League Women,Adelaide United (W) v Western Sydney Wanderers (W),5-2,3.0,1.0,4.0,1,False,
2025-12-27T06:00:00+00:00,Australian A-League Women,Central Coast Mariners (W) v Melbourne Victory (W),3-3,3.0,0.0,3.75,0,False,
2025-12-27T06:30:00+00:00,Indonesian Championship,Persipura Jayapura v Persela Lamongan,2-0,1.0,0.0,4.5,1,False,
2025-12-27T07:00:00+00:00,Australian A-League Women,Newcastle Jets (W) v Canberra United (W),0-1,0.0,0.0,3.9,1,True,1
2025-12-27T07:30:00+00:00,Vietnamese U19,Ha Noi FC U19 v PVF CAND U19,1-2,0.0,1.0,3.7,1,False,
2025-12-27T08:00:00+00:00,Vietnamese U19,Song Lam Nghe An U19 v Hong Linh Ha Tinh U19,2-1,1.0,0.0,3.65,1,False,
2025-12-27T08:00:00+00:00,Algerian U20 League,RC Arba U20 v Ain Defla U20,6-2,1.0,2.0,3.35,1,False,
2025-12-27T08:00:00+00:00,Algerian U20 League,RC Relizane U20 v RCG Oran U20,1-0,1.0,0.0,3.55,1,False,
2025-12-27T08:00:00+00:00,Algerian U20 League,ASO Chlef U20 v ESM Kolea U20,2-0,2.0,0.0,3.55,1,False,
2025-12-27T08:00:00+00:00,Algerian U20 League,MC Oran U20 v USM Bel Abbes U20,2-1,1.0,0.0,5.9,1,False,
2025-12-27T08:00:00+00:00,Algerian U20 League,Wifak Medea U20 v USM Blida U20,2-1,1.0,1.0,3.5,1,False,
2025-12-27T08:30:00+00:00,Indonesian Super League,Persik Kediri v Persis Solo,2-1,2.0,0.0,3.85,1,False,
2025-12-27T08:30:00+00:00,Bangladesh Premier League,PWD Sports Club v Fakirapool Young Men,1-2,0.0,2.0,4.1,1,False,
2025-12-27T08:30:00+00:00,Bangladesh Premier League,Mohammedan Dhaka v Rahmatganj MFS,1-1,0.0,1.0,3.65,0,False,
2025-12-27T08:30:00+00:00,Indonesian Championship,Sriwijaya v Psms Medan,1-3,1.0,1.0,4.6,1,False,
2025-12-27T08:30:00+00:00,Bangladesh Premier League,Brothers Union v Fortis FC Limited,1-1,1.0,0.0,3.45,0,False,
2025-12-27T08:30:00+00:00,Indonesian Championship,Adhyaksa FC v Persekat Kabupaten Tegal,0-1,0.0,0.0,4.6,1,True,1
2025-12-27T08:35:00+00:00,Australian A-League Men,Adelaide United v Western Sydney Wanderers,3-2,1.0,1.0,3.9,1,False,
2025-12-27T10:30:00+00:00,Turkish 1 Lig,Sariyer G.K. v Bodrum Belediyesi Bodrumspor,1-0,1.0,0.0,3.5,1,False,
2025-12-27T10:30:00+00:00,Turkish 1 Lig,Sivasspor v Bandirmaspor,2-0,0.0,0.0,3.3,1,True,1
2025-12-27T11:00:00+00:00,Cambodian Premier League,Phnom Penh v Tiffy Army FC,3-2,3.0,0.0,5.6,1,False,
2025-12-27T11:00:00+00:00,Turkish 2 Lig,Ankaraspor v Sanliurfaspor,2-1,1.0,1.0,3.35,1,False,
2025-12-27T11:00:00+00:00,Cambodian Premier League,Boeung Ket v Svay Rieng FC,2-1,0.0,0.0,4.3,1,True,1
