comp,matches,decisive_rate,samples_00at60,decisive_00at60_rate
Austrian Bundesliga,63,76.19,14,64.29
Belgian First Division A,51,76.47,15,60.0
Belgian First Division B,27,81.48,10,70.0
Bolivian Liga de Futbol Profesional,52,92.31,13,84.62
Bosnian Premier League,55,76.36,16,68.75
Chilean Primera Division,96,77.08,27,66.67
Cypriot 1st Division,21,85.71,8,75.0
Danish Superliga,60,80.0,15,73.33
English National League North,218,77.52,45,64.44
English Sky Bet League 1,252,79.37,76,68.42
English U21 Pro Development League,112,79.46,17,52.94
English WSL,46,80.43,8,62.5
Estonian Premier League,30,90.0,5,60.0
Finnish Kakkonen,22,77.27,6,66.67
French Ligue 1,103,83.5,25,88.0
German 3 Liga,114,79.82,22,59.09
German Bundesliga 2,104,76.92,26,65.38
Greek Super League,44,81.82,15,80.0
Icelandic 1 Deild,47,78.72,12,66.67
Indonesian Liga 1,55,80.0,13,84.62
Indonesian Super League,42,80.95,16,68.75
Japanese J League 3,152,76.97,41,68.29
Jordanian Premier League,56,78.57,20,60.0
Kazakhstan Premier League,34,76.47,11,63.64
Lithuanian 1 Lyga,22,81.82,6,50.0
Luxembourg Division Nationale,44,77.27,8,50.0
Malaysian Super League,45,77.78,8,62.5
Mexican Liga MX,141,78.01,23,69.57
Northern Irish Premiership,69,86.96,18,72.22
Norwegian 2nd Division,44,79.55,7,85.71
Norwegian Eliteserien,86,82.56,20,65.0
Saudi Professional League,69,79.71,13,46.15
Scottish League One,69,76.81,12,50.0
Serbian Super League,90,76.67,20,60.0
Singapore Premier League,23,86.96,6,83.33
Slovenian Premier League,64,78.12,10,80.0
South Korean K League 1,81,77.78,30,66.67
Swedish Allsvenskan,81,77.78,26,73.08
Swiss Super League,68,83.82,13,76.92
UAE Arabian Gulf League,38,78.95,7,57.14
Venezuelan Primera Division,92,79.35,23,56.52
Welsh Premiership,47,76.6,12,58.33
