comp,matches,decisive_rate
Bolivian Liga de Futbol Profesional,52,0.9230769230769231
Ecuadorian Serie B,10,0.9
Jordanian Premier League,19,0.8947368421052632
Lithuanian 1 Lyga,19,0.8947368421052632
Northern Irish Premiership,47,0.8936170212765957
Saudi Professional League,18,0.8888888888888888
Estonian Premier League,23,0.8695652173913043
Swiss Super League,38,0.868421052631579
Danish Superliga,44,0.8636363636363636
Cypriot 1st Division,14,0.8571428571428571
English WSL,26,0.8461538461538461
Venezuelan Primera Division,57,0.8421052631578947
Scottish League One,31,0.8387096774193549
Norwegian Eliteserien,83,0.8313253012048193
Belgian First Division B,27,0.8148148148148148
Japanese J League 3,96,0.8125
German Bundesliga,47,0.8085106382978723
Swiss Challenge League,31,0.8064516129032258
French Ligue 1,51,0.803921568627451
Chilean Primera Division,61,0.8032786885245902
Slovenian Premier League,45,0.8
Romanian Liga II,35,0.8
Indonesian Super League,25,0.8
German Bundesliga 2,58,0.7931034482758621
English Sky Bet League 1,133,0.7894736842105263
Icelandic 1 Deild,47,0.7872340425531915
Greek Super League,28,0.7857142857142857
Dutch Eerste Divisie,55,0.7818181818181819
Croatian 1 HNL,32,0.78125
Swedish Allsvenskan,68,0.7794117647058824
German 3 Liga,63,0.7777777777777778
Brazilian Serie A,125,0.776
Finnish Kakkonen,22,0.7727272727272727
Dutch Eredivisie,65,0.7692307692307693
Chilean Segunda Division,13,0.7692307692307693
English Sky Bet League 2,129,0.7674418604651163
Swedish Division 1,73,0.7671232876712328
Belgian First Division A,51,0.7647058823529411
Norwegian 2nd Division,34,0.7647058823529411
English National League North,126,0.7619047619047619
Kazakhstan Premier League,21,0.7619047619047619
English Premier League 2 - Div 1,62,0.7580645161290323
Swedish Superettan,92,0.75
Serbian Super League,60,0.75
Irish Division 1,56,0.75
