comp,matches,decisive_rate,entry1_count,entry2_count,pnl_entry1_sum,pnl_entry2_sum,pnl_total_sum,pnl_entry1_avg,pnl_entry2_avg,pnl_total_avg,00at60_samples,00at60_decisive_rate,pnl_entry1_avg_on_bets,pnl_entry2_avg_on_bets
Japanese J League 3,96,0.8125,80,26,2720.0,630.0,3350.0,28.333333333333332,6.5625,34.895833333333336,29,0.7586206896551724,34.0,24.23076923076923
Bolivian Liga de Futbol Profesional,52,0.9230769230769231,32,7,2540.0,40.00000000000006,2580.0,48.84615384615385,0.7692307692307703,49.61538461538461,13,0.8461538461538461,79.375,5.714285714285722
Norwegian Eliteserien,83,0.8313253012048193,47,0,2295.0,0.0,2295.0,27.650602409638555,0.0,27.650602409638555,19,0.6842105263157895,48.829787234042556,
Danish Superliga,44,0.8636363636363636,30,10,1960.0,320.0,2280.0,44.54545454545455,7.2727272727272725,51.81818181818182,12,0.8333333333333334,65.33333333333333,32.0
Brazilian Serie A,125,0.776,97,0,2275.0,0.0,2275.0,18.2,0.0,18.2,36,0.6111111111111112,23.45360824742268,
English National League North,126,0.7619047619047619,98,0,1560.0000000000002,0.0,1560.0000000000002,12.380952380952383,0.0,12.380952380952383,28,0.6785714285714286,15.918367346938778,
Northern Irish Premiership,47,0.8936170212765957,23,5,1365.0,175.0,1540.0,29.04255319148936,3.723404255319149,32.765957446808514,11,0.7272727272727273,59.34782608695652,35.0
Venezuelan Primera Division,57,0.8421052631578947,41,11,1650.0,-119.99999999999997,1530.0,28.94736842105263,-2.1052631578947363,26.842105263157894,17,0.7058823529411765,40.24390243902439,-10.909090909090907
English Sky Bet League 1,133,0.7894736842105263,94,34,1530.0,-9.999999999999972,1520.0000000000002,11.503759398496241,-0.07518796992481182,11.42857142857143,47,0.7021276595744681,16.27659574468085,-0.2941176470588227
Swiss Super League,38,0.868421052631579,23,7,1195.0,325.0,1520.0,31.44736842105263,8.552631578947368,40.0,10,0.8,51.95652173913044,46.42857142857143
English Sky Bet League 2,129,0.7674418604651163,87,26,1560.0,-120.0,1440.0,12.093023255813954,-0.9302325581395349,11.162790697674419,36,0.75,17.93103448275862,-4.615384615384615
French Ligue 1,51,0.803921568627451,30,14,560.0,720.0,1280.0,10.980392156862745,14.117647058823529,25.098039215686274,19,0.8421052631578947,18.666666666666668,51.42857142857143
Chilean Primera Division,61,0.8032786885245902,43,16,1120.0,0.0,1120.0,18.360655737704917,0.0,18.360655737704917,21,0.7142857142857143,26.046511627906977,0.0
Scottish League One,31,0.8387096774193549,18,0,1120.0,0.0,1120.0,36.12903225806452,0.0,36.12903225806452,6,0.6666666666666666,62.22222222222222,
