comp,matches,pnl_sum,ltd60_pnl_sum,total_pnl_sum,pnl_avg,ltd60_pnl_avg,total_pnl_avg,win_rate,max_drawdown,max_win_streak,max_loss_streak
French Ligue 1,72,5200.0,6200.0,11400.0,72.22,86.11,158.33,81.94,-2200.0,16.0,2.0
English Sky Bet League 1,210,9464.0,0.0,9464.0,45.07,0.0,45.07,78.1,-3100.0,12.0,5.0
Danish Superliga,46,5520.0,3100.0,8620.0,120.0,67.39,187.39,89.13,-1060.0,23.0,1.0
Bolivian Liga de Futbol Profesional,37,5200.0,2200.0,7400.0,140.54,59.46,200.0,91.89,-760.0,20.0,1.0
Swedish Allsvenskan,63,4170.0,3100.0,7270.0,66.19,49.21,115.4,80.95,-1840.0,10.0,3.0
Northern Irish Premiership,44,3820.0,2700.0,6520.0,86.82,61.36,148.18,84.09,-1400.0,9.0,2.0
Indonesian Liga 1,45,3020.0,3000.0,6020.0,67.11,66.67,133.78,80.0,-1240.0,8.0,2.0
Swiss Super League,52,3380.0,2300.0,5680.0,65.0,44.23,109.23,82.69,-980.0,10.0,1.0
South Korean K League 1,67,5330.0,0.0,5330.0,79.55,0.0,79.55,82.09,-1370.0,12.0,2.0
Mexican Liga MX,105,5260.0,0.0,5260.0,50.1,0.0,50.1,79.05,-2100.0,11.0,4.0
Norwegian Eliteserien,65,4844.0,0.0,4844.0,74.52,0.0,74.52,83.08,-1626.0,14.0,2.0
English National League North,176,4514.0,0.0,4514.0,25.65,0.0,25.65,75.57,-2540.0,13.0,3.0
Greek Super League,25,2160.0,2200.0,4360.0,86.4,88.0,174.4,84.0,-1500.0,10.0,2.0
Cypriot 1st Division,11,2200.0,2000.0,4200.0,200.0,181.82,381.82,100.0,0.0,11.0,0.0
Japanese J League 3,127,4050.0,0.0,4050.0,31.89,0.0,31.89,74.8,-4930.0,12.0,3.0
German 3 Liga,92,4030.0,0.0,4030.0,43.8,0.0,43.8,78.26,-2120.0,20.0,2.0
Venezuelan Primera Division,78,3970.0,0.0,3970.0,50.9,0.0,50.9,76.92,-2570.0,24.0,3.0
Slovenian Premier League,42,1420.0,2100.0,3520.0,33.81,50.0,83.81,76.19,-1380.0,9.0,2.0
Icelandic 1 Deild,34,3070.0,0.0,3070.0,90.29,0.0,90.29,85.29,-1110.0,11.0,2.0
German Bundesliga 2,81,1980.0,0.0,1980.0,24.44,0.0,24.44,76.54,-2360.0,9.0,2.0
Indonesian Super League,29,1820.0,0.0,1820.0,62.76,0.0,62.76,79.31,-910.0,7.0,2.0
Estonian Premier League,16,1760.0,0.0,1760.0,110.0,0.0,110.0,87.5,-580.0,7.0,1.0
Jordanian Premier League,31,1740.0,0.0,1740.0,56.13,0.0,56.13,80.65,-1270.0,7.0,2.0
Belgian First Division B,17,720.0,1000.0,1720.0,42.35,58.82,101.18,76.47,-1230.0,4.0,1.0
Chilean Primera Division,76,1550.0,0.0,1550.0,20.39,0.0,20.39,73.68,-2090.0,12.0,2.0
Austrian Bundesliga,43,1500.0,0.0,1500.0,34.88,0.0,34.88,76.74,-1730.0,10.0,2.0
Scottish League One,55,1440.0,0.0,1440.0,26.18,0.0,26.18,76.36,-1850.0,10.0,3.0
Saudi Professional League,37,1334.0,0.0,1334.0,36.05,0.0,36.05,78.38,-1340.0,7.0,2.0
Norwegian 2nd Division,20,30.0,1300.0,1330.0,1.5,65.0,66.5,75.0,-1870.0,5.0,2.0
English WSL,22,760.0,0.0,760.0,34.55,0.0,34.55,77.27,-1060.0,7.0,2.0
Belgian First Division A,35,660.0,0.0,660.0,18.86,0.0,18.86,74.29,-880.0,6.0,2.0
Luxembourg Division Nationale,10,520.0,0.0,520.0,52.0,0.0,52.0,80.0,-510.0,5.0,1.0
UAE Arabian Gulf League,23,490.0,0.0,490.0,21.3,0.0,21.3,78.26,-1650.0,9.0,2.0
Finnish Kakkonen,13,320.0,0.0,320.0,24.62,0.0,24.62,76.92,-1480.0,7.0,2.0
Kazakhstan Premier League,23,160.0,0.0,160.0,6.96,0.0,6.96,69.57,-930.0,9.0,2.0
English U21 Pro Development League,29,-60.0,0.0,-60.0,-2.07,0.0,-2.07,75.86,-1340.0,5.0,2.0
Bosnian Premier League,29,-360.0,0.0,-360.0,-12.41,0.0,-12.41,68.97,-1150.0,5.0,2.0
Singapore Premier League,2,-400.0,0.0,-400.0,-200.0,0.0,-200.0,50.0,-600.0,1.0,1.0
Lithuanian 1 Lyga,9,-430.0,0.0,-430.0,-47.78,0.0,-47.78,66.67,-600.0,3.0,2.0
Welsh Premiership,29,-540.0,0.0,-540.0,-18.62,0.0,-18.62,68.97,-2120.0,5.0,3.0
Serbian Super League,55,-610.0,0.0,-610.0,-11.09,0.0,-11.09,70.91,-2820.0,6.0,2.0
Malaysian Super League,13,-1300.0,0.0,-1300.0,-100.0,0.0,-100.0,61.54,-1380.0,3.0,1.0
